      Train        Test
     8.15172      7.85919 
     6.89782       7.7409 
     6.52157       7.5203 
     6.54623      7.88004 
     6.53694      7.19979 
     6.35213      8.89346 
     6.11351      7.25773 
     6.22092      7.18662 
      6.1157      7.59984 
      6.3302      6.99535 
     5.86053      7.03225 
     5.78794      7.32975 
     5.79668      7.00882 
     5.86406      7.22733 
     5.69812      6.69867 
     5.88175      7.02469 
     5.98207      6.68838 
     5.53786      7.48301 
     5.45658      7.04192 
     5.75897      7.05117 
     5.51675      6.00075 
      5.3843      6.90441 
     5.51565      6.42045 
      5.3811       7.4319 
     5.48752       7.1979 
     5.32978      6.39241 
     5.31579       6.8284 
     5.20352      6.51859 
     5.15762      6.55665 
     5.09283      7.26309 
     5.20802      6.68696 
     5.20634      6.39934 
     5.25415      6.33289 
     5.15247      7.09325 
     5.16291      7.47497 
     5.27829      7.02581 
      5.1203      6.93972 
     5.04502      7.03734 
      4.9025      6.74251 
     5.06211      6.47231 
     4.99283      6.21323 
     4.99892      6.60732 
     4.92342      6.21484 
     4.84823      6.41862 
      4.8575      6.05045 
     5.10218      6.40873 
     4.74513      6.41765 
     4.87148      6.61802 
     4.87343      7.58091 
      4.8363      6.03891 
