#      Train        Test
     13.1101      12.9821 
     10.6699      10.0236 
     9.03574      8.98988 
      7.8388      7.33906 
     7.22273      6.76444 
     6.95074      6.72566 
     6.73706      5.89899 
     6.46117      5.85537 
     6.33672       6.8891 
     6.28669      6.12218 
     6.06506      6.13994 
     5.94135      5.78265 
     5.92593      5.55415 
      5.9072      5.87081 
     5.72609      5.43032 
     5.68506      5.87031 
     5.63044      5.79979 
     5.49699      5.58346 
     5.41003      5.18505 
     5.40748      5.44749 
     5.26847      5.59982 
     5.16854      5.61367 
      5.2016      5.55069 
      5.1296      6.00053 
      5.0191       5.5713 
