#      Train        Test
      2.3759      4.23224 
     2.30917      4.07114 
     2.31801      3.93604 
     2.28593      4.48775 
     2.35311      4.06372 
     2.25808      4.78159 
     2.20735      3.87836 
     2.07465      4.27506 
     2.16384       4.8092 
      2.1319      4.01082 
     2.04623      4.44656 
     2.19834      4.00594 
     2.27211      3.75368 
     2.08616      4.11187 
     2.07879        3.737 
     2.03331      4.18456 
     1.94676      4.26519 
     1.99831      3.98135 
     2.04086      4.07398 
     2.02776      3.71359 
     1.98614      3.86677 
      1.9573      3.97418 
     1.93743       4.1271 
     1.94424      3.57685 
      1.8414      4.32764 
     1.93423      3.77549 
      1.9699      3.72043 
     1.94801      3.79172 
     1.92858      4.03576 
      1.8941       3.9411 
     1.89892      3.92219 
     1.89828      3.90877 
     1.89658      3.73738 
     1.89929      4.13365 
     1.87764      4.23165 
     1.82645      3.81396 
     1.87721      3.86074 
     1.77942      3.87556 
     1.80925      3.79622 
     1.82751      4.00437 
     1.86539      3.96389 
     1.86472      3.80477 
      1.7896      3.70588 
     1.78091       3.9341 
     1.74602      3.83417 
     1.77828      4.00405 
     1.80388      4.13273 
     1.81682      3.87739 
     1.83838      3.82108 
     1.82755       4.0103 
