#      Train        Test
    0.789229     0.670455 
    0.772516     0.738636 
    0.798514     0.731061 
    0.814299     0.746212 
    0.805942      0.69697 
    0.822656     0.727273 
    0.817084     0.719697 
    0.844011     0.746212 
    0.840297     0.719697 
    0.836583     0.746212 
    0.839369     0.757576 
    0.831941     0.742424 
    0.830084     0.768939 
    0.849582     0.765152 
    0.852368     0.772727 
    0.865367     0.776515 
    0.850511     0.772727 
    0.870009     0.731061 
     0.83844     0.746212 
    0.870009     0.791667 
    0.858867     0.746212 
    0.879294         0.75 
    0.865367     0.738636 
    0.873723     0.719697 
    0.873723     0.757576 
    0.869081     0.746212 
    0.886722     0.761364 
     0.85701     0.761364 
    0.865367     0.772727 
    0.887651         0.75 
    0.870009     0.753788 
    0.886722     0.784091 
    0.889508     0.795455 
    0.890436     0.810606 
     0.87558     0.761364 
    0.883937     0.795455 
    0.895079     0.806818 
     0.88208     0.776515 
    0.889508     0.791667 
    0.887651     0.753788 
    0.881151     0.765152 
    0.881151     0.753788 
    0.906221     0.791667 
    0.881151         0.75 
    0.895079     0.742424 
    0.885794     0.772727 
    0.896936     0.761364 
    0.890436     0.765152 
    0.890436     0.765152 
    0.883937     0.791667 
