window,dropped_frame,accuracy,threshold
4,776.06,91.667,10
2,897.67,91.667,10
2,1459.91,90.152,15
3,5199.91,81.061,50
2,3143.94,87.87899999999999,30
2,2586.27,89.39399999999999,25
2,1998.18,89.39399999999999,20
3,1357.27,91.288,15
2,3696.88,87.12100000000001,35
2,4821.61,84.09100000000001,45
3,4595.27,84.09100000000001,45
3,2433.41,90.152,25
3,2955.32,87.87899999999999,30
3,3523.5,86.74199999999999,35
2,4263.82,84.47,40
3,1927.23,90.53,20
3,4032.45,85.227,40
3,811.68,91.667,10
2,5375.03,80.682,50
3,2423.73,89.39399999999999,25
4,1298.55,91.288,15
4,2899.45,89.773,30
4,2291.94,91.667,25
4,1807.21,91.288,20
5,1305.23,90.53,15
5,1746.74,90.152,20
3,3479.5,87.12100000000001,35
4,3371.7,90.152,35
5,752.65,92.42399999999999,10
4,3942.06,86.74199999999999,40
4,4457.64,82.57600000000001,45
6,708.64,91.288,10
5,3829.77,85.985,40
5,2811.21,90.53,30
4,5031.09,80.303,50
5,3317.27,86.74199999999999,35
5,2275.3,90.90899999999999,25
5,4378.64,84.09100000000001,45
5,4927.27,82.955,50
6,1189.55,90.53,15
6,2210.91,90.53,25
6,1733.27,90.90899999999999,20
6,3244.36,87.87899999999999,35
6,3709.36,87.87899999999999,40
6,2724.91,89.773,30
6,4276.91,85.60600000000001,45
6,4851.27,83.333,50
7,695.44,92.045,10
7,1237.52,90.90899999999999,15
7,1652.42,90.152,20
7,2632.32,89.015,30
7,3157.74,88.63600000000001,35
7,2146.77,90.152,25
7,3670.76,86.74199999999999,40
7,4190.35,84.09100000000001,45
8,1165.58,91.667,15
8,670.91,92.42399999999999,10
7,4711.64,83.712,50
8,1637.58,90.90899999999999,20
8,2086.79,90.90899999999999,25
8,2567.76,89.015,30
8,3061.7,88.25800000000001,35
8,4685.33,86.74199999999999,50
9,650.59,92.42399999999999,10
8,4085.58,87.87899999999999,45
9,1137.0,91.667,15
8,3595.27,87.12100000000001,40
9,2551.64,90.53,30
9,1996.36,91.288,25
9,1552.77,91.288,20
9,3067.09,89.773,35
9,3539.05,88.63600000000001,40
9,4046.86,83.712,45
9,4574.05,84.09100000000001,50
